actual,T25-Change based selection-uw.star.rts.technique.ClassFirewall_Direct_precision,T25-CoverageAnalysisCost(ms),T25-ChangeAnalysisCost(ms),T25-ApplyTechniqueCost(ms),T25-TestExecutionCost(ms)
jtopas-v0,1.0,-1,-1,-1,-1
jtopas-v1,0.2857142857142857,69,2284,0,-1
jtopas-v2,0.7,43,2400,0,-1
jtopas-v3,0.6363636363636364,42,2203,1,-1
apache-ant-v0,1.0,-1,-1,-1,-1
apache-ant-v1,1.0,1564,7708,1,-1
apache-ant-v2,0.8235294117647058,291,7812,1,-1
apache-ant-v3,0.5,323,8928,1,-1
apache-ant-v4,0.5384615384615384,460,8905,1,-1
apache-ant-v5,0.27722772277227725,669,10008,0,-1
apache-ant-v6,0.20192307692307693,563,10884,0,-1
apache-ant-v7,0.26666666666666666,737,12133,1,-1
apache-ant-v8,0.14666666666666667,828,15955,0,-1
jakarta-jmeter-v0,1.0,-1,-1,-1,-1
jakarta-jmeter-v1,0.6666666666666666,2802,10017,0,-1
jakarta-jmeter-v2,0.30434782608695654,245,7608,0,-1
jakarta-jmeter-v3,0.12,268,8271,1,-1
jakarta-jmeter-v4,0.32142857142857145,313,9151,0,-1
jakarta-jmeter-v5,0.2857142857142857,324,9726,0,-1
apache-xml-security-v0,1.0,-1,-1,-1,-1
apache-xml-security-v1,0.8125,947,6058,1,-1
apache-xml-security-v2,0.8666666666666667,112,5827,0,-1
apache-xml-security-v3,0.0,128,5836,0,-1
